4,メリハリが大事
4,空いた時間は読書を
4,思いがけない進展も
4,衝動買いも今日は◎
6,感謝を伝えるのも◎
12,仕事ではミスに注意
12,一人の時間を大切に
2,お誘いには乗ってみて
3,笑顔もちゃんと見せて
3,心が穏やかになるはず
6,お金に関する勉強も◎
8,楽しい一日になりそう
8,運動不足は散歩で解消
9,まずはゴミを片付けて
11,家族とケンカの暗示も
1,読書や音楽を楽しむと吉
1,衝動買いも今日ならOK
1,仲間も応援してくれます
2,仲間の力を借りてみては
2,運動はジョギングをぜひ
2,強気でいるのが一番です
3,気分がグッと華やぎます
3,友達と運動をするのも◎
4,自分から連絡もアリです
5,優しい心が持てる日です
7,お店に足を運んでみては
7,楽しい時間が過ごせそう
9,料理をすると運気アップ
10,人の意見にはまず従って
10,自分の意見を大切にして
11,細かいことは考えないで
12,残りものに福があるかも
1,苦手なことにもトライして
1,きっといいことがあります
1,ネットでお店を探してみて
2,ダイエットもまずまず好調
2,古い友達にも連絡してみて
3,先輩からの指導も効果的に
4,優しい態度に惚れ直すかも
5,食事は腹八分目がオススメ
5,本音は隠さないようにして
6,じっくり集中できそうです
6,身だしなみには気をつけて
6,レストランの新規開拓が◎
7,新たな能力が開花する暗示
7,新しい情報に敏感になる日
9,新しいお財布を買うのも◎
9,持ち物の管理に気をつけて
9,無責任は信頼をなくしそう
10,あなたらしさを大切にして
10,自分に自信が持てそうです
10,家族と過ごすのがいいかも
10,焦らないようにして丁寧に
10,気持ちをうまく切り替えて
10,焦らず散歩から始めてみて
11,くれぐれも無理は禁物です
12,まずはじっくり会話をして
12,普段会えない人には連絡を
12,大事なのは焦らない気持ち
12,慎重に選ぶことが大事です
1,早め早めの行動で運気アップ
1,小さなミスは気にしないこと
1,あなたの味方も見つかります
1,メールや電話で連絡してみて
2,無理をしない程度に楽しんで
2,初対面の人には慎重に接して
2,一目ぼれをする可能性もあり
2,古い友達と連絡を取るのも◎
3,家族には何事も本音で話して
3,視野を広く持つのがポイント
3,趣味の時間が充実しそうです
4,人をうまく頼るのが正解です
5,気持ちの切り替えが大事です
6,やる気や向上心が高まりそう
6,結果には満足できるはずです
7,簡単なことは、勢いで決めて
7,そろそろ気持ちの切り替えを
7,今日は飾らない言葉を大切に
8,慎重な行動がツキを呼びます
8,きっかけは友達のアドバイス
8,感謝の言葉を大切にしたい日
9,焦って行動してはいけません
9,きれいな空間でリラックスを
10,今日は家族との時間を大事に
10,何を選んでも結果は自分次第
10,次のチャンスは必ずあるはず
11,家でゆっくり過ごしましょう
11,興味がないならスルーが正解
12,今日は焦らずマイペースが吉
12,いつでも遅すぎることはなし
12,気分転換の時間を大事にして
1,仲間とのんびり外食を楽しんで
1,人の要求には素直に従ってみて
2,年長者の人と話す時間も大事に
2,のんびりと散歩に出かけてみて
2,きっかけは何でもかまいません
3,話題の長編小説を読破してみて
3,ちょっと長いメールを送ると吉
4,多少のミスは気にしないのが◎
4,新しい靴やコートを買うのも◎
4,人を見かけで判断しないこと☆
5,ケンカは今日で仲直りできそう
5,思っていることはすぐに伝えて
6,少しの出費は気にしないように
6,親切は倍になって返ってきそう
7,疲れていたら、まずは気分転換
8,ネット通販を調べてみましょう
8,休憩がてら散歩に出かけてみて
9,自分の部屋でのんびり過ごして
9,スピーディーな対応が決め手に
9,今日は周りの人を頼るのが正解
9,食事の誘いは受けてみましょう
10,今は足元を固めておくのが大事
10,貴重品など、忘れ物には要注意
10,なるべくあなたから心を開いて
10,固定観念にとらわれていては損
10,絵画や音楽に触れると運気上昇
11,今日の発言には注意が必要です
11,期待以上に効果がありそうです
11,尊敬する人の言葉が開運のカギ
11,あてが外れて困ってしまうかも
12,焦らずのんびり過ごしましょう
12,期待はずれが続いてしまいそう
12,ストレス解消は音楽やグルメで
12,奉仕の心で人と接すると幸運が
12,理由を考えておけば再発防止に
12,ミスに気づいたらすぐに対応を
12,今日は休憩モードと割り切って
1,深刻に考えすぎず、感性で動いて
1,見た目で評価はしないようにして
1,仲間に贈り物をするのもオススメ
1,友達と長電話でストレス解消も◎
1,まずは計画を立ててみてください
1,やる気アップには冷たい飲み物を
2,ハプニングもなく穏やかな一日に
2,あなたの意見はズバズバ言うこと
2,ダイエットの効果もありそうです
2,ケチになるのは損かもしれません
2,肩の力を抜き、人付き合いをして
2,マンネリな関係を脱出できるかも
3,自分から積極的に動いた方が良し
3,理想の人が、目の前に現れるかも
3,自分の意見はアピールしておいて
3,理想と思える人が、あなたの前に
4,心が躍るような出来事が必要かも
4,家族と出かけると絆が深まります
4,ハッキリとした態度が幸運のカギ
4,今日はアクティブさが開運のカギ
5,共同作業をする時間は大切にして
5,買い物にラッキーがありそうです
5,あなたの思いをそのまま口にして
5,夢中になれるものが見つかりそう
5,どうしても話したいのなら家族に
5,思いついたらすぐにシェアをして
6,自分の新たな才能が発見できそう
6,充実する過ごし方を探しましょう
6,ゆっくり話をすることができそう
7,あなたの実力が高く評価されそう
7,家族とのんびり過ごしてください
7,お祝い事は、盛大にやりましょう
7,親せきや家族との食事もGOOD
7,今日はインプットに適している日
7,積極性が今後の進展に繋がります
7,目立ちたい気持ちが生まれるかも
8,気分転換は、昼寝が一番でしょう
8,料理や掃除を頑張るのにもいい日
8,笑顔と愛想で勝負してみましょう
8,魅力的な人に、感銘を受けるかも
8,決められないなら、家族に相談を
9,あえて特殊なやり方を選ぶのも◎
9,相手の意見をしっかり受け止めて
9,バーゲンセールでは掘り出し物が
9,気になる人にも声をかけてみては
9,やってみたいことは何でも挑戦を
10,優しさだけが友情ではありません
10,元気な人に連絡をしてみましょう
10,伝えたいことは手紙にするのも手
10,あまり深く考えずに、頭を休めて
10,面倒くさがらないことが大事です
11,貴重品は肌身離さず持ちましょう
11,面倒くさがっていると運気ダウン
11,真剣に話を聞いてあげてください
11,今日は自宅でのんびりが正解かも
12,目的を達成するには、準備が必要
12,今日は忙しく過ごすのが良さそう
12,人に会うときはできるだけ笑顔で
12,お誘いは、断ってもいいでしょう
12,リラックスグッズで気持ちを楽に
1,何事もあきらめないでおきましょう
2,インターネットの活用で運気アップ
2,衝動買いより、吟味して選ぶ方が◎
2,あなたにとっていい方向へ進む暗示
2,何事も面倒くさがらないようにして
2,細かいことを考えない姿勢が大切♪
2,また会う約束をすると運気アップ☆
2,粘り続けることが今日の成功のカギ
2,部屋の掃除を、徹底的にやってみて
3,メイクはヘルシーな印象を心がけて
3,あなたに期待している人も多い様子
4,心引かれる何かと出会えそうな一日
4,また、見栄を張らないのも大事です
4,お菓子など甘いものの量を見直して
5,身の回りの掃除をすると運気アップ
5,無料でいろんなことを勉強できます
5,一人で過ごす時間は少なくすると吉
5,何でも、有効活用することを考えて
5,ネットの役立つ情報を実践してみて
5,意外な人からアプローチがあるかも
5,お気に入りのものが見つかるかも☆
5,仲間との交流が心を明るくさせます
5,焦る気持ちは、深呼吸でリラックス
5,好きな人には、駆け引きが必要かも
5,人付き合いのスキルがアップしそう
5,部屋もキレイになって集中力アップ
6,何でもできると自分に言い聞かせて
6,今日は、人の優しさに触れられる日
6,今日は一日、リラックスを心がけて
6,意外な交流ができるかもしれません
6,今日は一人で過ごす時間が大事です
7,頑張るあなたに嬉しいサプライズも
7,ショッピングでは、嬉しい出来事が
7,大がかりなイベントにはぜひ参加を
7,お祝い事は派手にしてあげましょう
7,最後まで、気を引き締めて行動して
7,空いた時間は身の回りの掃除をして
8,新しいファッションにチャレンジを
8,今日はマイペースで過ごしましょう
8,ネットでリサーチをしてみましょう
8,ためらわずに決断するのがＧＯＯＤ
8,落ち込んだらすぐメールをしてみて
8,今日は周囲に流されないようにして
8,尊敬する人に、意見を求めるのも◎
8,誰に対しても弱気な姿勢はNGです
8,新しいスキルを学んでみてください
9,冷静な判断力が求められる一日です
9,新しいことを始めると長続きしそう
9,大きなチャンスをモノにできるかも
9,優しい気配りが、とても喜ばれます
9,悩みを切り出してみるチャンスかも
9,臨時収入に、思わず笑顔になるかも
10,自分を責めない強気な態度が大切に
10,できるだけゆったり過ごしましょう
10,必要なものなら、衝動買いでも良し
10,これからの目標を語り合ってみては
10,うっかり口を滑らせるとトラブルに
10,苦手な人と、意気投合できる暗示も
10,目の前のことに、とことん集中して
10,メールで連絡を取っておきましょう
11,何かでミスをしても、気にしないで
11,疲れはお昼寝などでうまく解消して
11,まずは手持ちのお金を確認してみて
11,今日はフィーリングを頼ると大失敗
11,あまり焦らないようにして、冷静に
11,困っている人には手を貸してあげて
12,今日は気持ちの切り替えが大事かも
12,手荷物の確認はしっかりしましょう
